,geoid,gasleaks_per_person,crimes_per_person,boro,nta,centerLong,centerLat,hover
9,36005002800,0.005907906168549088,0.006602953953084275,bronx,soundview-castle hill-clason point-harding park,-73.87820990446805,40.82160390508078,bronx<br>soundview-castle hill-clason point-harding park<br>36005002800<br>gasleaks_per_person: 0.005908<br>crimes_per_person: 0.006603
10,36005003100,0.007334963325183374,0.015484922575387123,bronx,mott haven-port morris,-73.90569784913293,40.80988258673418,bronx<br>mott haven-port morris<br>36005003100<br>gasleaks_per_person: 0.007335<br>crimes_per_person: 0.015485
11,36005003300,0.004002287021154946,0.012006861063464836,bronx,mott haven-port morris,-73.9119397224368,40.808239357285885,bronx<br>mott haven-port morris<br>36005003300<br>gasleaks_per_person: 0.004002<br>crimes_per_person: 0.012007
12,36005003500,0.006167873424510592,0.008849557522123894,bronx,mott haven-port morris,-73.90867356960295,40.810966262067495,bronx<br>mott haven-port morris<br>36005003500<br>gasleaks_per_person: 0.006168<br>crimes_per_person: 0.00885
13,36005003700,0.11442786069651742,0.08955223880597014,bronx,mott haven-port morris,-73.91217432850203,40.8114568909312,bronx<br>mott haven-port morris<br>36005003700<br>gasleaks_per_person: 0.114428<br>crimes_per_person: 0.089552
14,36005003800,0.012987012987012988,0.009445100354191263,bronx,soundview-castle hill-clason point-harding park,-73.86334271373933,40.82029389413965,bronx<br>soundview-castle hill-clason point-harding park<br>36005003800<br>gasleaks_per_person: 0.012987<br>crimes_per_person: 0.009445
16,36005004001,0.0014378145219266715,0.02228612508986341,bronx,soundview-bruckner,-73.85833461840218,40.8282716370377,bronx<br>soundview-bruckner<br>36005004001<br>gasleaks_per_person: 0.001438<br>crimes_per_person: 0.022286
18,36005004200,0.00831779721784024,0.00860461781155887,bronx,soundview-castle hill-clason point-harding park,-73.86202469111271,40.823924081053356,bronx<br>soundview-castle hill-clason point-harding park<br>36005004200<br>gasleaks_per_person: 0.008318<br>crimes_per_person: 0.008605
20,36005004400,0.013178822994773916,0.009088843444671665,bronx,soundview-bruckner,-73.8664700442062,40.82650782127871,bronx<br>soundview-bruckner<br>36005004400<br>gasleaks_per_person: 0.013179<br>crimes_per_person: 0.009089
21,36005004600,0.029543994861913937,0.04431599229287091,bronx,soundview-castle hill-clason point-harding park,-73.86918231012191,40.82241059780867,bronx<br>soundview-castle hill-clason point-harding park<br>36005004600<br>gasleaks_per_person: 0.029544<br>crimes_per_person: 0.044316
22,36005004800,0.0017703591299949419,0.010116337885685382,bronx,soundview-bruckner,-73.87435598619453,40.82701132170214,bronx<br>soundview-bruckner<br>36005004800<br>gasleaks_per_person: 0.00177<br>crimes_per_person: 0.010116
23,36005005001,0.011207443434129837,0.00888137026855572,bronx,soundview-bruckner,-73.87785363849507,40.82499720977541,bronx<br>soundview-bruckner<br>36005005001<br>gasleaks_per_person: 0.011207<br>crimes_per_person: 0.008881
24,36005005002,0.0016961929890689784,0.009234828496042216,bronx,soundview-bruckner,-73.8784343711594,40.82736298631935,bronx<br>soundview-bruckner<br>36005005002<br>gasleaks_per_person: 0.001696<br>crimes_per_person: 0.009235
26,36005005200,0.014645577035735208,0.023432923257176334,bronx,soundview-bruckner,-73.8824751353702,40.82562354869415,bronx<br>soundview-bruckner<br>36005005200<br>gasleaks_per_person: 0.014646<br>crimes_per_person: 0.023433
28,36005005400,0.007433180452316938,0.008856555432547842,bronx,west farms-bronx river,-73.87974369302992,40.82990770985667,bronx<br>west farms-bronx river<br>36005005400<br>gasleaks_per_person: 0.007433<br>crimes_per_person: 0.008857
29,36005005600,0.024261138067931187,0.015438906043228937,bronx,west farms-bronx river,-73.87914289619255,40.83262201606598,bronx<br>west farms-bronx river<br>36005005600<br>gasleaks_per_person: 0.024261<br>crimes_per_person: 0.015439
31,36005006000,0.01366742596810934,0.024297646165527716,bronx,crotona park east,-73.87797580276805,40.837711767640286,bronx<br>crotona park east<br>36005006000<br>gasleaks_per_person: 0.013667<br>crimes_per_person: 0.024298
33,36005006200,0.008817269686834904,0.008665247795682578,bronx,west farms-bronx river,-73.87554682218908,40.83328854213846,bronx<br>west farms-bronx river<br>36005006200<br>gasleaks_per_person: 0.008817<br>crimes_per_person: 0.008665
35,36005006400,0.006448146157979581,0.009403546480386889,bronx,west farms-bronx river,-73.87223427584524,40.83300421282259,bronx<br>west farms-bronx river<br>36005006400<br>gasleaks_per_person: 0.006448<br>crimes_per_person: 0.009404
37,36005006700,0.007431984074319841,0.00849369608493696,bronx,melrose south-mott haven north,-73.9181728360259,40.81949622028052,bronx<br>melrose south-mott haven north<br>36005006700<br>gasleaks_per_person: 0.007432<br>crimes_per_person: 0.008494
38,36005006800,0.011231748408835642,0.01759640584050917,bronx,soundview-bruckner,-73.87052493744059,40.82895691543351,bronx<br>soundview-bruckner<br>36005006800<br>gasleaks_per_person: 0.011232<br>crimes_per_person: 0.017596
39,36005006900,0.013436044428520243,0.00949480472948764,bronx,melrose south-mott haven north,-73.91577280135785,40.82186565367903,bronx<br>melrose south-mott haven north<br>36005006900<br>gasleaks_per_person: 0.013436<br>crimes_per_person: 0.009495
40,36005007000,0.0027822861117551586,0.00950614421516346,bronx,soundview-bruckner,-73.86562250778202,40.829818092025555,bronx<br>soundview-bruckner<br>36005007000<br>gasleaks_per_person: 0.002782<br>crimes_per_person: 0.009506
41,36005007100,0.00945520036019811,0.024313372354795137,bronx,melrose south-mott haven north,-73.91283594409353,40.818216512956,bronx<br>melrose south-mott haven north<br>36005007100<br>gasleaks_per_person: 0.009455<br>crimes_per_person: 0.024313
42,36005007200,0.003462004500605851,0.007097109226241994,bronx,soundview-bruckner,-73.8606934289493,40.8310438181745,bronx<br>soundview-bruckner<br>36005007200<br>gasleaks_per_person: 0.003462<br>crimes_per_person: 0.007097
43,36005007300,0.0022688598979013048,0.015031196823596143,bronx,melrose south-mott haven north,-73.90938718522911,40.81467392081765,bronx<br>melrose south-mott haven north<br>36005007300<br>gasleaks_per_person: 0.002269<br>crimes_per_person: 0.015031
45,36005007500,0.02197802197802198,0.009352349777881692,bronx,melrose south-mott haven north,-73.90862409262867,40.818776165016125,bronx<br>melrose south-mott haven north<br>36005007500<br>gasleaks_per_person: 0.021978<br>crimes_per_person: 0.009352
46,36005007600,0.00411522633744856,0.008409375559134014,bronx,west farms-bronx river,-73.86765519046199,40.833378287877395,bronx<br>west farms-bronx river<br>36005007600<br>gasleaks_per_person: 0.004115<br>crimes_per_person: 0.008409
47,36005007800,0.0029498525073746312,0.007210750573582432,bronx,westchester-unionport,-73.85283012003092,40.82917244094831,bronx<br>westchester-unionport<br>36005007800<br>gasleaks_per_person: 0.00295<br>crimes_per_person: 0.007211
48,36005007900,0.00927487352445194,0.010286677908937605,bronx,melrose south-mott haven north,-73.90486748366355,40.815790521630795,bronx<br>melrose south-mott haven north<br>36005007900<br>gasleaks_per_person: 0.009275<br>crimes_per_person: 0.010287
49,36005008300,0.005033284624127293,0.007793472966390648,bronx,longwood,-73.90184015718138,40.81367606788839,bronx<br>longwood<br>36005008300<br>gasleaks_per_person: 0.005033<br>crimes_per_person: 0.007793
51,36005008500,0.010647897491427541,0.008121277747698972,bronx,longwood,-73.89907794850835,40.81626710420105,bronx<br>longwood<br>36005008500<br>gasleaks_per_person: 0.010648<br>crimes_per_person: 0.008121
53,36005008700,0.002542103590721322,0.008261836669844296,bronx,longwood,-73.89727226577118,40.81967396789985,bronx<br>longwood<br>36005008700<br>gasleaks_per_person: 0.002542<br>crimes_per_person: 0.008262
54,36005008900,0.0032711808963035655,0.01995420346745175,bronx,hunts point,-73.89392147224207,40.81855595424839,bronx<br>hunts point<br>36005008900<br>gasleaks_per_person: 0.003271<br>crimes_per_person: 0.019954
56,36005009200,0.0073814356892415575,0.006827828012548441,bronx,westchester-unionport,-73.85210989501378,40.8323574671339,bronx<br>westchester-unionport<br>36005009200<br>gasleaks_per_person: 0.007381<br>crimes_per_person: 0.006828
58,36005009600,0.005212858384013901,0.01954821894005213,bronx,westchester-unionport,-73.84387868091956,40.83444094132242,bronx<br>westchester-unionport<br>36005009600<br>gasleaks_per_person: 0.005213<br>crimes_per_person: 0.019548
59,36005009800,0.008551992225461613,0.00641399416909621,bronx,westchester-unionport,-73.84952266374783,40.82544334908027,bronx<br>westchester-unionport<br>36005009800<br>gasleaks_per_person: 0.008552<br>crimes_per_person: 0.006414
61,36005011502,0.006219172206733862,0.011794981771391808,bronx,hunts point,-73.88603260733792,40.81968305715551,bronx<br>hunts point<br>36005011502<br>gasleaks_per_person: 0.006219<br>crimes_per_person: 0.011795
63,36005011900,0.006779661016949152,0.012052730696798493,bronx,hunts point,-73.88955714588155,40.82328549534909,bronx<br>hunts point<br>36005011900<br>gasleaks_per_person: 0.00678<br>crimes_per_person: 0.012053
64,36005012101,0.002162162162162162,0.014414414414414415,bronx,morrisania-melrose,-73.88887776218137,40.828275685013644,bronx<br>morrisania-melrose<br>36005012101<br>gasleaks_per_person: 0.002162<br>crimes_per_person: 0.014414
65,36005012102,0.0035460992907801418,0.014893617021276596,bronx,hunts point,-73.88789397794638,40.82600280458759,bronx<br>hunts point<br>36005012102<br>gasleaks_per_person: 0.003546<br>crimes_per_person: 0.014894
66,36005012300,0.006944444444444444,0.012235449735449735,bronx,crotona park east,-73.88740329056935,40.82860303864824,bronx<br>crotona park east<br>36005012300<br>gasleaks_per_person: 0.006944<br>crimes_per_person: 0.012235
67,36005012500,0.007547169811320755,0.012264150943396227,bronx,morrisania-melrose,-73.89352512806279,40.828634775311876,bronx<br>morrisania-melrose<br>36005012500<br>gasleaks_per_person: 0.007547<br>crimes_per_person: 0.012264
68,36005012701,0.010101010101010102,0.020622895622895623,bronx,hunts point,-73.89232744395117,40.825632285282786,bronx<br>hunts point<br>36005012701<br>gasleaks_per_person: 0.010101<br>crimes_per_person: 0.020623
69,36005012901,0.028116531165311653,0.018292682926829267,bronx,longwood,-73.89873400726214,40.8226304363621,bronx<br>longwood<br>36005012901<br>gasleaks_per_person: 0.028117<br>crimes_per_person: 0.018293
71,36005013100,0.010065003145313483,0.010694065841895575,bronx,longwood,-73.89789485108707,40.82595225041436,bronx<br>longwood<br>36005013100<br>gasleaks_per_person: 0.010065<br>crimes_per_person: 0.010694
73,36005013300,0.012558869701726845,0.007221350078492936,bronx,morrisania-melrose,-73.9034845989695,40.82282251917077,bronx<br>morrisania-melrose<br>36005013300<br>gasleaks_per_person: 0.012559<br>crimes_per_person: 0.007221
74,36005013500,0.011363636363636364,0.01382063882063882,bronx,morrisania-melrose,-73.90209411634174,40.82712996827225,bronx<br>morrisania-melrose<br>36005013500<br>gasleaks_per_person: 0.011364<br>crimes_per_person: 0.013821
76,36005014100,0.006230529595015576,0.0258121940364931,bronx,morrisania-melrose,-73.91229818526273,40.82376381877891,bronx<br>morrisania-melrose<br>36005014100<br>gasleaks_per_person: 0.006231<br>crimes_per_person: 0.025812
77,36005014300,0.06017699115044248,0.049557522123893805,bronx,east concourse-concourse village,-73.91212850273254,40.82774810896879,bronx<br>east concourse-concourse village<br>36005014300<br>gasleaks_per_person: 0.060177<br>crimes_per_person: 0.049558
79,36005014500,0.016410614525139665,0.007332402234636872,bronx,claremont-bathgate,-73.90702667075902,40.83151441421224,bronx<br>claremont-bathgate<br>36005014500<br>gasleaks_per_person: 0.016411<br>crimes_per_person: 0.007332
80,36005014701,0.016955266955266956,0.007215007215007215,bronx,claremont-bathgate,-73.90532956801839,40.83423141184523,bronx<br>claremont-bathgate<br>36005014701<br>gasleaks_per_person: 0.016955<br>crimes_per_person: 0.007215
81,36005014900,0.010615711252653927,0.009819532908704883,bronx,morrisania-melrose,-73.90149611841554,40.83258893609058,bronx<br>morrisania-melrose<br>36005014900<br>gasleaks_per_person: 0.010616<br>crimes_per_person: 0.00982
82,36005015100,0.00772273497833867,0.010171407044641175,bronx,morrisania-melrose,-73.8984719916707,40.83108756271888,bronx<br>morrisania-melrose<br>36005015100<br>gasleaks_per_person: 0.007723<br>crimes_per_person: 0.010171
84,36005015300,0.010055570256681662,0.010320190526594337,bronx,crotona park east,-73.89412350730196,40.83346850909154,bronx<br>crotona park east<br>36005015300<br>gasleaks_per_person: 0.010056<br>crimes_per_person: 0.01032
85,36005015500,0.0025758443045220377,0.011448196908986834,bronx,crotona park east,-73.8899837666517,40.8355242658504,bronx<br>crotona park east<br>36005015500<br>gasleaks_per_person: 0.002576<br>crimes_per_person: 0.011448
86,36005015700,0.011283043197936816,0.012572533849129593,bronx,crotona park east,-73.88551786453854,40.83301411405423,bronx<br>crotona park east<br>36005015700<br>gasleaks_per_person: 0.011283<br>crimes_per_person: 0.012573
88,36005015900,0.004078857919782461,0.014276002719238613,bronx,hunts point,-73.89355586436378,40.82236970573556,bronx<br>hunts point<br>36005015900<br>gasleaks_per_person: 0.004079<br>crimes_per_person: 0.014276
90,36005016100,0.010345638372913237,0.009875382083235363,bronx,crotona park east,-73.88501765774775,40.836844695443396,bronx<br>crotona park east<br>36005016100<br>gasleaks_per_person: 0.010346<br>crimes_per_person: 0.009875
92,36005016300,0.08173076923076923,0.06490384615384616,bronx,park-cemetery-etc-bronx,-73.8949868103218,40.83854957394535,bronx<br>park-cemetery-etc-bronx<br>36005016300<br>gasleaks_per_person: 0.081731<br>crimes_per_person: 0.064904
93,36005016400,0.0038461538461538464,0.016346153846153847,bronx,schuylerville-throgs neck-edgewater park,-73.82484752562998,40.83219954704932,bronx<br>schuylerville-throgs neck-edgewater park<br>36005016400<br>gasleaks_per_person: 0.003846<br>crimes_per_person: 0.016346
94,36005016500,0.004101722723543888,0.04593929450369155,bronx,claremont-bathgate,-73.90029385026209,40.843064671837595,bronx<br>claremont-bathgate<br>36005016500<br>gasleaks_per_person: 0.004102<br>crimes_per_person: 0.045939
95,36005016600,0.0024834437086092716,0.022764900662251654,bronx,schuylerville-throgs neck-edgewater park,-73.83018523207407,40.82952476570036,bronx<br>schuylerville-throgs neck-edgewater park<br>36005016600<br>gasleaks_per_person: 0.002483<br>crimes_per_person: 0.022765
96,36005016700,0.02198952879581152,0.019895287958115182,bronx,claremont-bathgate,-73.90217285987302,40.84048152176609,bronx<br>claremont-bathgate<br>36005016700<br>gasleaks_per_person: 0.02199<br>crimes_per_person: 0.019895
97,36005016900,0.00827966881324747,0.0078196872125115,bronx,claremont-bathgate,-73.90272771482378,40.837791432870674,bronx<br>claremont-bathgate<br>36005016900<br>gasleaks_per_person: 0.00828<br>crimes_per_person: 0.00782
98,36005017300,0.0060695236343571825,0.009196247930844215,bronx,east concourse-concourse village,-73.91651494091461,40.82630744079686,bronx<br>east concourse-concourse village<br>36005017300<br>gasleaks_per_person: 0.00607<br>crimes_per_person: 0.009196
99,36005017500,0.011640373717261449,0.008270791851738398,bronx,east concourse-concourse village,-73.9136501351046,40.83082211941898,bronx<br>east concourse-concourse village<br>36005017500<br>gasleaks_per_person: 0.01164<br>crimes_per_person: 0.008271
100,36005017701,0.011378329454357383,0.013964313421256789,bronx,east concourse-concourse village,-73.91117734197414,40.833195710471415,bronx<br>east concourse-concourse village<br>36005017701<br>gasleaks_per_person: 0.011378<br>crimes_per_person: 0.013964
