geoid,_incidents,_crimes,population,povertyrate,unemploymentrate,gas_leaks_person,crimes_person,ntaname,boro_name
36047051100,47,36,3933,0.255,0.094,0.011950165,0.009153318,East Williamsburg,Brooklyn
36047055300,14,37,2596,0.084,0.034,0.005392912,0.014252696,North Side-South Side,Brooklyn
36047057500,31,34,4249,0.133,0.045,0.007295834,0.008001883,Greenpoint,Brooklyn
36047052700,29,54,6629,0.268,0.106,0.004374717,0.008146025,North Side-South Side,Brooklyn
36047052900,8,22,3979,0.429,0.024,0.002010555,0.005529027,Williamsburg,Brooklyn
36047050900,5,21,3694,0.6,0.024,0.001353546,0.005684894,Williamsburg,Brooklyn
36047054700,14,26,5245,0.401,0.04,0.002669209,0.004957102,North Side-South Side,Brooklyn
36047055100,24,36,4597,0.125,0.033,0.005220796,0.007831194,North Side-South Side,Brooklyn
36047049500,19,37,2603,0.123,0.068,0.00729927,0.014214368,East Williamsburg,Brooklyn
36047049900,9,11,1753,0.078,0.069,0.005134056,0.006274957,Greenpoint,Brooklyn
36047050300,17,34,2582,0.094,0.063,0.006584043,0.013168087,East Williamsburg,Brooklyn
36047050500,13,45,4163,0.286,0.1,0.003122748,0.010809512,East Williamsburg,Brooklyn
36047051700,17,35,1735,0.092,0.018,0.009798271,0.020172911,North Side-South Side,Brooklyn
36047053300,3,20,6566,0.56,0.027,0.000456899,0.003045995,Williamsburg,Brooklyn
36047056900,17,25,1630,0.101,0.029,0.010429448,0.015337423,Greenpoint,Brooklyn
36047057100,16,28,4400,0.085,0.058,0.003636364,0.006363636,Greenpoint,Brooklyn
36047059100,9,20,3920,0.081,0.043,0.002295918,0.005102041,Greenpoint,Brooklyn
36047056100,11,46,3295,0.055,0.032,0.003338392,0.013960546,Greenpoint,Brooklyn
36047050100,19,32,2786,0.101,0.072,0.006819813,0.011486001,East Williamsburg,Brooklyn
36047051500,10,23,1372,0.047,0.014,0.00728863,0.016763848,North Side-South Side,Brooklyn
36047052300,33,41,5469,0.237,0.044,0.00603401,0.0074968,North Side-South Side,Brooklyn
36047052500,28,40,3499,0.289,0.05,0.008002286,0.011431838,North Side-South Side,Brooklyn
36047049300,90,47,7625,0.391,0.128,0.011803279,0.006163934,Bushwick South,Brooklyn
36047053500,34,22,4348,0.538,0.044,0.007819687,0.005059798,Williamsburg,Brooklyn
