,total_housing_units,avg_year_built,occupied_housing_units%,vacant_housing_units%,geoid
0,1634,1946.3512851897185,88.6,11.4,36005018400
1,2779,1962.8897085282476,88.3,11.7,36005018500
2,2949,1942.9062394031876,94.6,5.4,36005018900
3,2037,1949.5117820324006,96.4,3.6,36005019300
4,795,1949.6446540880504,92.3,7.7,36005019400
5,2772,1947.6565656565656,94.6,5.4,36005019500
6,2304,1941.431423611111,92.0,8.0,36005019700
7,2875,1950.3678260869565,92.0,8.0,36005019900
8,1636,1937.7365525672371,93.2,6.8,36005020000
9,1382,1952.4008683068018,96.0,4.0,36005020100
10,885,1959.7214689265536,93.2,6.8,36005020200
11,1139,1943.78007023705,88.0,12.0,36005020400
12,2723,1953.8463092177744,95.8,4.2,36005020501
13,989,1954.0551061678464,84.8,15.2,36005020502
14,1001,1958.441058941059,90.5,9.5,36005020601
15,1681,1949.9753123140988,93.1,6.9,36005020900
16,4078,1945.603482099068,92.6,7.4,36005021001
17,3091,1938.1590100291169,96.4,3.6,36005021002
18,1987,1961.862858580775,93.3,6.7,36005021100
19,2303,1942.9520191055146,94.0,6.0,36005021200
20,455,1949.39010989011,93.2,6.8,36005021301
21,1982,1969.9752774974772,98.2,1.8,36005021302
22,1394,1943.6929698708752,87.6,12.4,36005021501
23,2166,1944.5600184672207,97.1,2.9,36005021502
24,1680,1942.642857142857,91.0,9.0,36005021601
25,2560,1941.357421875,95.8,4.2,36005021602
26,1855,1939.7398921832885,85.8,14.2,36005021700
27,2425,1941.0463917525774,94.2,5.8,36005021800
28,432,1931.7685185185185,94.2,5.8,36005021900
29,472,1944.6483050847457,95.8,4.2,36005022000
30,1193,1953.1714165968147,97.4,2.6,36005022101
31,1717,1945.0445544554455,88.4,11.6,36005022102
32,1212,1939.4257425742574,89.9,10.1,36005022200
33,1833,1951.7640480087289,98.4,1.6,36005022300
34,1138,1932.3119507908611,98.2,1.8,36005022401
35,1370,1935.6160583941605,95.3,4.7,36005022403
36,1824,1948.5356359649122,98.0,2.0,36005022404
37,2380,1933.6659663865546,95.3,4.7,36005022500
38,1876,1940.839552238806,95.6,4.4,36005022701
39,679,1944.7076583210603,97.6,2.4,36005022702
40,614,1933.5635179153094,97.7,2.3,36005022703
41,2586,1941.787316318639,95.2,4.8,36005022800
42,1863,1931.5907139023082,87.9,12.1,36005022901
43,1107,1943.3482384823849,95.1,4.9,36005022902
44,1056,1946.910037878788,93.4,6.6,36005023000
