,avg_houshold_size,nonfamily_housholds%,lonely_housholder%,lonely_housholder_over65%,housholders_grandparents_responsible_for_grandchildren%,"not_us_citizen(abs, people)",geoid,unemployed%,median_houshold_income,mean_houshold_income,total_housing_units,avg_year_built,occupied_housing_units%,vacant_housing_units%,total_population,median_age,not_us_citizen%
0,2.77,35.670103092783506,32.70103092783505,9.731958762886599,1.2371134020618555,1957,36119013400,6.8,64311,97628,2681,1950.3205893323386,90.5,9.5,6726,36.3,29.09604519774011
1,3.25,14.406779661016948,13.559322033898303,3.2203389830508478,0.0,758,36119013500,1.8,84063,111387,1255,1939.0258964143427,94.0,6.0,3889,34.7,19.490871689380302
2,1.88,58.470948012232405,52.72171253822629,31.25382262996942,0.0,360,36119014605,6.5,63418,80258,1727,1964.259119861031,94.7,5.3,3248,55.1,11.083743842364532
3,-666666666.0,100.0,100.0,0.0,0.0,0,36119000104,0.0,-666666666,-999999999,43,1999.6162790697674,48.8,51.2,21,-666666666.0,0.0
4,3.04,15.031315240083506,12.108559498956161,6.367432150313152,2.192066805845512,171,36119011102,3.5,168500,200664,977,1956.173490276356,98.1,1.9,2920,44.4,5.856164383561644
5,2.46,41.711711711711715,36.08108108108108,12.792792792792792,0.3603603603603603,691,36119011500,4.3,93722,127574,2357,1946.8118370810355,94.2,5.8,5591,37.3,12.359148631729564
6,2.91,20.01258653241032,15.040906230333542,9.251101321585905,1.2586532410320956,164,36119012000,6.2,100139,122642,1596,1955.421052631579,99.6,0.4,4884,43.7,3.357903357903358
7,2.82,21.461187214611872,20.639269406392685,6.75799086757991,0.0,105,36119012501,4.4,134453,224094,1185,1965.9345991561179,92.4,7.6,3111,44.3,3.3751205400192865
8,3.02,14.74442988204456,13.564875491480993,6.356487549148099,1.5727391874180865,265,36119012600,2.7,150227,260810,1779,1950.711354693648,85.8,14.2,4669,44.2,5.675733561790533
9,2.78,23.805601317957173,21.58154859967051,9.060955518945637,0.2471169686985173,71,36119013800,6.3,138485,161666,1227,1951.7860635696827,98.9,1.1,3374,42.3,2.104327208061648
10,2.72,26.319018404907972,24.11042944785276,8.159509202453988,0.98159509202454,185,36119014604,7.4,83696,105185,1853,1951.536157582299,88.0,12.0,4445,42.1,4.161979752530934
11,3.19,6.566200215285254,6.566200215285254,2.3681377825618943,0.7534983853606028,74,36119014908,3.9,147083,173621,989,1970.3129423660266,93.9,6.1,2986,44.6,2.478231748158071
12,3.06,14.78021978021978,13.021978021978025,10.604395604395602,0.0,186,36119006801,8.6,183250,229091,1903,1955.2209668943772,95.6,4.4,5611,45.7,3.314917127071823
13,3.03,15.89938300901756,14.048410061699098,3.891789273849074,0.0,616,36119006900,7.2,166797,271177,2132,1949.5375234521573,98.8,1.2,6395,40.9,9.632525410476935
14,2.69,30.13199817933545,24.89758761948111,12.562585343650431,0.0,343,36119007000,3.4,158299,240501,2379,1933.9060529634303,92.3,7.7,5924,41.8,5.790006752194463
15,2.76,32.602585722315915,27.655986509274868,12.422709387296235,1.6863406408094437,796,36119007401,6.0,72096,118619,1899,1944.328857293312,93.7,6.3,4940,38.8,16.11336032388664
16,3.61,18.56091578086672,15.780866721177436,2.698282910874898,1.4717906786590351,1324,36119007800,8.1,52070,70748,1287,1948.0003885003885,95.0,5.0,4424,31.8,29.92766726943942
17,2.72,23.12236286919831,22.067510548523206,15.9915611814346,0.0,527,36119008302,7.8,166064,231671,2675,1972.3680373831776,88.6,11.4,6562,45.7,8.031088082901555
18,2.68,27.099505998588572,19.336626676076214,11.714890613973186,0.0,784,36119008403,4.8,98750,123950,1417,1952.2551164431893,100.0,0.0,3810,43.2,20.57742782152231
19,2.86,23.246492985971948,17.969271877087508,8.684034736138944,1.2024048096192386,116,36119009600,6.9,159653,187470,1568,1937.50318877551,95.5,4.5,4304,42.4,2.6951672862453533
20,2.51,22.175379426644177,19.898819561551434,14.755480607082632,0.0,255,36119010801,5.3,141250,170979,1252,1951.5607028753996,94.7,5.3,3052,47.1,8.355176933158583
21,2.85,20.40302267002519,19.08060453400504,4.4710327455919385,0.0,135,36085017009,3.2,104393,128323,1691,1977.8784742755765,93.9,6.1,4525,44.1,2.983425414364641
22,2.98,30.386121992165645,27.14045886961388,13.094571908226078,2.3503077783995523,1132,36085020700,5.5,31250,49903,2033,1944.5614854894245,87.9,12.1,5372,30.7,21.07222635889799
23,2.95,18.023008095440982,13.975287601193012,6.476352790796763,1.1930123561994035,177,36085020803,3.9,112473,115635,2414,1981.4722452361227,97.2,2.8,6927,40.4,2.555218709398008
24,3.1,13.356562137049945,12.078977932636471,4.878048780487805,1.7421602787456445,236,36085022300,6.0,62054,78482,1024,1949.951171875,84.1,15.9,2684,29.5,8.79284649776453
25,2.71,32.70750988142292,29.54545454545455,8.893280632411066,2.865612648221344,525,36085024700,7.2,56875,72916,1051,1949.4571836346336,96.3,3.7,2755,32.4,19.056261343012704
26,2.92,24.05063291139241,17.580872011251756,9.095171120487576,4.125644631973746,161,36085025100,4.6,100152,112429,2221,1961.1771724448447,96.0,4.0,6220,44.2,2.5884244372990355
27,3.22,18.185618729096987,15.928093645484948,9.740802675585282,0.0,412,36085029104,5.1,89894,103578,2438,1975.383921246924,98.1,1.9,7715,38.4,5.340246273493196
28,2.41,48.34503510531595,42.32698094282848,22.066198595787363,0.0,351,36085004700,3.8,69290,96518,1103,1953.0222121486854,90.4,9.6,3127,37.5,11.224816117684682
29,2.82,20.261888352860094,15.230875258442452,4.824259131633356,1.722949689869056,421,36085005000,8.8,67361,92071,1513,1969.5482485128878,95.9,4.1,4105,39.5,10.255785627283801
30,2.92,25.243348475016226,20.44127190136275,10.64243997404283,5.4510058403634005,715,36085007400,4.9,77413,82843,1731,1966.2625649913346,89.0,11.0,4583,40.5,15.601134627972943
31,2.42,35.185185185185176,33.664021164021165,13.029100529100528,0.0,218,36085009601,3.7,66927,91673,1618,1965.6186650185412,93.4,6.6,3984,50.2,5.471887550200803
32,2.58,28.51652574942352,23.674096848578014,10.069177555726364,0.0,332,36085009602,10.0,83308,90493,1464,1956.9801912568305,88.9,11.1,3367,41.6,9.860409860409861
33,2.68,29.29799426934097,23.20916905444126,7.163323782234957,0.501432664756447,102,36085012200,7.6,95556,110077,1523,1945.8683519369665,91.7,8.3,3753,45.5,2.717825739408473
34,2.91,14.416243654822335,14.416243654822335,6.751269035532996,0.0,318,36085013203,11.0,80500,116042,2134,1967.082474226804,92.3,7.7,5744,42.9,5.536211699164345
35,2.66,23.37876910367617,20.90045435770343,12.061131763733995,0.0,184,36085015601,7.1,104760,119546,2516,1953.9558823529408,96.2,3.8,6470,43.3,2.8438948995363216
36,2.86,18.968133535660094,15.326251896813352,5.918057663125948,1.8209408194233687,154,36085018701,4.2,97228,106678,673,1947.8952451708767,97.9,2.1,1898,42.4,8.113804004214963
37,3.06,21.716514954486343,17.815344603381018,6.805374945817079,2.9475509319462505,750,36085018702,5.2,103802,115725,2408,1965.3492524916946,95.8,4.2,7877,49.0,9.52139139266218
38,2.51,31.952965235173828,27.044989775051125,14.314928425357873,2.811860940695297,407,36085018901,7.4,58902,74210,2126,1961.8720602069614,92.0,8.0,4931,44.4,8.25390387345366
39,3.23,26.628352490421463,23.30779054916986,9.642401021711366,2.2988505747126435,608,36085021300,3.9,61726,73681,1747,1933.316256439611,89.6,10.4,5119,34.4,11.877319789021293
40,2.52,39.550374687760204,33.513738551207325,8.659450457951706,1.915070774354704,463,36085000700,4.5,40147,52910,2503,1950.7984418697565,96.0,4.0,6051,33.0,7.6516278301107254
41,1.82,59.473150962512676,50.861195542046616,13.171225937183385,1.4184397163120568,309,36085000300,6.9,72386,84554,1146,1949.5907504363001,86.1,13.9,1927,39.3,16.035288012454593
42,2.72,33.43653250773993,25.077399380804955,7.894736842105262,0.0,275,36085000900,9.8,55250,69282,868,1944.2407834101386,74.4,25.6,1757,32.7,15.651678998292546
43,3.31,26.454033771106943,21.388367729831145,3.189493433395872,0.0,279,36085002700,8.3,25938,41030,558,1939.064516129032,95.5,4.5,2376,33.3,11.742424242424242
44,2.69,33.36497389653536,33.36497389653536,12.244897959183671,4.508780256288562,261,36103111701,6.9,66741,86939,2207,1955.3586316266424,95.5,4.5,5681,43.3,4.594261573666608
45,3.44,13.012895662368114,10.0820633059789,7.737397420867528,0.0,72,36103111803,3.3,157240,162309,917,1962.5043620501635,93.0,7.0,2933,41.1,2.4548244118649847
46,3.03,20.74810052600818,12.624196376388078,5.727644652250147,0.0,313,36103112001,8.6,106625,126072,1770,1958.6242937853106,96.7,3.3,5245,39.3,5.967588179218303
47,3.32,10.974729241877256,8.158844765342959,5.55956678700361,0.0,119,36103112211,3.2,158625,230057,1499,1968.662775183456,92.4,7.6,4596,45.1,2.589208006962576
48,3.49,4.583602324080052,4.196255648805681,2.9696578437701744,0.0,159,36103112213,5.6,155324,182181,1753,1970.4355390758694,88.4,11.6,5512,43.0,2.8846153846153846
49,2.74,27.856135401974612,20.87447108603667,6.770098730606486,3.737658674188999,200,36103159204,7.5,74697,104310,1569,1968.1169534735502,90.4,9.6,4134,50.3,4.837929366231252
50,3.06,26.434558349451965,23.40425531914893,7.414571244358478,0.7092198581560284,203,36103159406,3.4,85089,100817,1694,1985.029515938607,91.6,8.4,4931,39.6,4.116812005678361
51,3.44,23.417721518987346,13.805379746835444,4.825949367088608,7.792721518987341,573,36103159505,5.8,88207,96070,2772,1978.955266955267,91.2,8.8,8688,36.4,6.595303867403316
52,2.34,41.065482796892354,34.01775804661487,20.921198668146502,0.0,164,36103147901,6.7,72500,90846,1954,1976.7036847492325,92.2,7.8,4225,46.4,3.8816568047337277
53,3.42,23.196276183087665,16.446858029480218,5.3529868114817685,1.1636927851047325,407,36103158103,9.1,75823,97482,1365,1963.3827838827842,94.4,5.6,4448,34.8,9.150179856115107
54,2.92,21.23015873015873,20.436507936507933,13.293650793650794,3.571428571428571,54,36103158203,2.2,142500,163777,566,1959.5706713780921,89.0,11.0,1496,45.9,3.6096256684491976
55,3.05,28.96678966789668,23.124231242312426,6.273062730627307,1.0455104551045509,352,36103158309,7.2,91277,101716,1805,1976.6108033241,90.1,9.9,4956,39.2,7.1025020177562554
56,3.15,18.70967741935484,9.247311827956988,5.376344086021504,1.5770609318996418,97,36103158402,3.0,127478,150865,1468,1967.791553133515,95.0,5.0,4500,42.0,2.155555555555556
57,2.53,41.00985221674877,35.960591133004925,11.20689655172414,1.2315270935960592,61,36103158403,7.6,84875,91351,908,1979.1090308370044,89.4,10.6,2072,40.7,2.9440154440154442
58,3.18,21.140294682895576,14.926329276105061,6.982703395259449,0.0,292,36103158509,10.4,75842,78682,1795,1965.9763231197767,87.0,13.0,4966,37.9,5.879983890455095
59,3.35,13.885180240320427,10.947930574098796,2.469959946595461,2.136181575433912,174,36103158605,5.2,113929,125658,1560,1971.551282051282,96.0,4.0,5022,42.1,3.464755077658303
60,2.47,43.22151372331577,38.868866093706686,18.436373717771,1.5248128638757967,793,36103158704,2.9,67547,79669,3950,1980.9372151898733,91.3,8.7,8937,42.0,8.873223676849054
61,3.01,18.128654970760234,13.951545530492899,4.427736006683375,1.086048454469507,83,36103158710,7.8,90250,102295,1512,1979.3955026455026,79.2,20.8,3687,37.5,2.251152698671006
62,2.79,30.962504831851568,24.159257827599536,11.673753382296095,1.778121376111326,785,36103159105,4.4,69196,82593,2637,1973.203071672355,98.1,1.9,7225,37.9,10.865051903114187
63,2.68,31.759483454398712,26.634382566585952,3.6319612590799033,1.1299435028248588,599,36103159404,4.8,56071,77788,2639,1971.6106479727166,93.9,6.1,6674,35.4,8.975127359904105
64,3.25,21.323529411764707,16.094771241830067,4.003267973856209,6.045751633986927,309,36103159408,7.3,86833,92278,1333,1972.5690172543134,91.8,8.2,4264,32.5,7.24671669793621
65,2.49,35.82887700534759,32.23834988540871,19.022154316271962,0.0,473,36103201003,3.0,92663,125014,3858,1974.649300155521,33.9,66.1,3282,45.6,14.411943936624011
66,2.45,27.701674277016746,20.395738203957386,14.878234398782347,0.0,161,36103170201,3.2,82222,117297,4079,1969.015812699191,64.4,35.6,6474,51.8,2.486870559159716
67,3.52,13.760061326178613,12.38022230739747,4.101188194710616,4.407819087773094,822,36103159506,5.0,63009,79434,2951,1977.0018637749915,88.4,11.6,9195,34.0,8.939641109298533
68,2.98,14.063066328379849,12.758245741210587,7.067778180500182,3.40703153316419,244,36103169701,5.3,116709,137239,3164,1974.4936788874845,87.2,12.8,8367,40.9,2.9162184773515
69,2.47,37.74703557312253,31.719367588932805,14.82213438735178,0.3952569169960474,209,36103190502,5.0,84038,140815,3045,1965.353858784893,33.2,66.8,2527,47.1,8.270676691729323
70,2.4,41.581920903954796,33.220338983050844,11.638418079096045,1.0734463276836157,468,36029005600,8.5,26551,44644,2062,1943.3773035887489,85.8,14.2,4268,31.7,10.965323336457358
71,1.94,48.24640287769784,44.64928057553957,17.985611510791365,2.0233812949640293,87,36029007700,1.4,43204,51534,2341,1933.0476292182827,95.0,5.0,4327,41.8,2.01063092211694
72,1.9,52.02334630350195,50.35019455252918,42.023346303501945,0.4669260700389105,304,36029009008,2.1,73103,106322,2704,1984.0525147928995,95.0,5.0,5120,57.8,5.9375
73,2.66,20.975232198142415,14.628482972136224,9.791021671826622,0.0,179,36029009113,4.1,114897,127159,2646,1976.9614512471653,97.7,2.3,6915,48.2,2.588575560375994
74,2.42,36.29430237774787,25.123373710183934,7.267833109017498,1.2113055181695829,898,36029009301,6.1,45135,57313,2478,1948.2873284907184,90.0,10.0,5409,32.9,16.60195969680163
75,2.36,33.85951065509077,28.7292817679558,12.2336227308603,0.0,65,36029009701,6.9,58531,65982,1440,1964.432638888889,88.0,12.0,3005,46.0,2.1630615640599005
76,2.4,24.858757062146893,22.74011299435028,13.347457627118645,2.5423728813559325,8,36029012002,4.0,66026,86191,1522,1969.7030223390275,93.0,7.0,3398,49.4,0.23543260741612712
77,2.25,48.58670741023682,44.23223834988541,17.647058823529417,3.6669213139801378,174,36029012300,10.4,35433,44665,1656,1938.304347826087,79.0,21.0,2963,33.7,5.872426594667567
